city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Carmo do Cajuru,3114204.0,2021-06-18,202124,22693.0,22478.0,True,False,994,4380.20535,2021-06-18,0.0342,34,449,city,MG,0,0
Serra Branca,2515500.0,2021-08-08,202132,13754.0,13699.0,True,False,994,7226.988509999999,2021-08-08,0.0342,34,493,city,PB,1,0
Inaciolândia,5209937.0,2021-08-08,202132,6235.0,6194.0,True,False,993,15926.222940000001,2021-08-08,0.0272,27,426,city,GO,0,0
Saltinho,3545159.0,2021-08-11,202132,8393.0,8286.0,True,False,993,11831.28798,2021-08-11,0.0191,19,470,city,SP,2,0
São Simão,3550902.0,2021-08-11,202132,15385.0,15322.0,True,False,993,6454.33864,2021-08-11,0.0252,25,447,city,SP,1,0
Ferraz de Vasconcelos,3515707.0,2021-08-11,202132,196500.0,194276.0,True,False,9924,5050.3816799999995,2021-08-11,0.0475,471,518,city,SP,12,1
Formosa,5208004.0,2021-08-08,202132,123684.0,121617.0,True,False,9917,8018.01365,2021-08-08,0.0255,253,483,city,GO,0,0
Quebrangulo,2707602.0,2021-07-02,202126,11248.0,11294.0,True,False,991,8810.45519,2021-07-02,0.0131,13,420,city,AL,5,0
Balneário Pinhal,4301636.0,2021-08-09,202132,14363.0,14068.0,True,False,991,6899.67277,2021-08-09,0.0494,49,439,city,RS,1,0
Pau Brasil,2923902.0,2021-07-29,202130,9686.0,9831.0,True,False,990,10220.93744,2021-07-29,0.0242,24,454,city,BA,0,1
Queluz,3541901.0,2021-08-11,202132,13606.0,13420.0,True,False,990,7276.20168,2021-08-11,0.0091,9,416,city,SP,4,0
Catas Altas da Noruega,3115409.0,2021-06-18,202124,3653.0,3641.0,True,False,99,2710.10129,2021-06-18,0.0404,4,384,city,MG,0,0
Doresópolis,3123403.0,2021-06-18,202124,1533.0,1527.0,True,False,99,6457.9256399999995,2021-06-18,0.0101,1,373,city,MG,0,0
Quixaba,2512606.0,2021-08-08,202132,1983.0,1956.0,True,False,99,4992.4357,2021-08-08,0.0202,2,453,city,PB,0,0
Uberlândia,3170206.0,2021-06-18,202124,699097.0,691305.0,True,False,98939,14152.39945,2021-06-18,0.025,2474,459,city,MG,274,5
Uibaí,2932408.0,2021-07-29,202130,13891.0,13887.0,True,False,989,7119.7178,2021-07-29,0.0243,24,420,city,BA,0,0
Juarez Távora,2507606.0,2021-08-08,202132,7976.0,7936.0,True,False,989,12399.6991,2021-08-08,0.0121,12,455,city,PB,0,0
Arealva,3503406.0,2021-08-11,202132,8613.0,8560.0,True,False,989,11482.64252,2021-08-11,0.0192,19,473,city,SP,1,0
Maricá,3302700.0,2021-08-11,202132,164504.0,161207.0,True,False,9880,6005.93299,2021-08-11,0.0585,578,501,city,RJ,29,3
Capela,2701704.0,2021-07-02,202126,16979.0,17053.0,True,False,988,5818.95282,2021-07-02,0.0162,16,438,city,AL,1,0
